student_id,test_id,correct_answers,total_questions,wrong_answers,date,subject,test_type,test_difficulty,duration_minutes,chapter_coverage,term,max_marks,marks_obtained,percentage,pass_fail,grade
RN0001,T001,16,21,5,05-06-2025,Mathematics,Chapter Test,Easy,30,Single Chapter,Term 1,50,38.095238095238095,76.19047619047619,Pass,B1
RN0001,T002,8,21,13,11-06-2025,Mathematics,Unit Test,Medium,45,Multi Chapter,Term 1,50,19.047619047619047,38.095238095238095,Pass,D
RN0001,T003,15,21,6,12-06-2025,Mathematics,Unit Test,Medium,45,Single Chapter,Term 1,50,35.714285714285715,71.42857142857143,Pass,B1
RN0001,T004,14,21,7,14-06-2025,Science,Pre-Board,Hard,60,Full Syllabus,Term 1,80,53.33333333333333,66.66666666666666,Pass,B2
RN0001,T005,10,21,11,14-06-2025,Science,Monthly Test,Hard,45,Multi Chapter,Term 1,50,23.809523809523807,47.61904761904761,Pass,C2
RN0001,T006,13,21,8,19-06-2025,Social,Unit Test,Medium,45,Multi Chapter,Term 1,50,30.952380952380953,61.904761904761905,Pass,B2
RN0001,T007,10,21,11,25-06-2025,Mathematics,Pre-Board,Hard,60,Full Syllabus,Term 1,80,38.095238095238095,47.61904761904761,Pass,C2
RN0001,T008,12,21,9,05-07-2025,Science,Half-Yearly,Hard,60,Full Syllabus,Term 1,80,45.71428571428571,57.14285714285714,Pass,C1
RN0001,T009,12,21,9,07-07-2025,Mathematics,Half-Yearly,Hard,60,Full Syllabus,Term 1,80,45.71428571428571,57.14285714285714,Pass,C1
RN0001,T010,10,21,11,13-07-2025,Mathematics,Chapter Test,Medium,30,Single Chapter,Term 1,50,23.809523809523807,47.61904761904761,Pass,C2
RN0001,T011,9,21,12,17-07-2025,English,Monthly Test,Hard,45,Multi Chapter,Term 1,50,21.428571428571427,42.857142857142854,Pass,C2
RN0001,T013,15,21,6,23-07-2025,Science,Revision Test,Hard,60,Multi Chapter,Term 1,50,35.714285714285715,71.42857142857143,Pass,B1
RN0001,T014,13,21,8,01-08-2025,Science,Unit Test,Medium,45,Single Chapter,Term 1,50,30.952380952380953,61.904761904761905,Pass,B2
RN0001,T015,14,21,7,04-08-2025,English,Chapter Test,Medium,30,Single Chapter,Term 1,50,33.33333333333333,66.66666666666666,Pass,B2
RN0001,T016,12,21,9,07-08-2025,English,Chapter Test,Easy,30,Single Chapter,Term 1,50,28.57142857142857,57.14285714285714,Pass,C1
RN0001,T017,14,21,7,08-08-2025,Science,Chapter Test,Easy,30,Single Chapter,Term 1,50,33.33333333333333,66.66666666666666,Pass,B2
RN0001,T018,13,21,8,23-08-2025,Mathematics,Monthly Test,Hard,45,Multi Chapter,Term 1,50,30.952380952380953,61.904761904761905,Pass,B2
RN0001,T019,7,21,14,25-08-2025,English,Unit Test,Medium,45,Multi Chapter,Term 1,50,16.666666666666664,33.33333333333333,Fail,E
RN0001,T020,11,21,10,26-08-2025,Science,Unit Test,Medium,45,Single Chapter,Term 1,50,26.190476190476193,52.38095238095239,Pass,C1
RN0001,T021,11,21,10,27-08-2025,Social,Monthly Test,Medium,45,Multi Chapter,Term 1,50,26.190476190476193,52.38095238095239,Pass,C1
RN0001,T022,19,21,2,29-08-2025,Mathematics,Chapter Test,Easy,30,Single Chapter,Term 1,50,45.23809523809524,90.47619047619048,Pass,A1
RN0001,T023,12,21,9,30-08-2025,English,Unit Test,Medium,45,Multi Chapter,Term 1,50,28.57142857142857,57.14285714285714,Pass,C1
RN0001,T024,13,21,8,18-09-2025,Social,Unit Test,Medium,45,Single Chapter,Term 1,50,30.952380952380953,61.904761904761905,Pass,B2
RN0001,T025,11,21,10,08-10-2025,Social,Unit Test,Medium,45,Multi Chapter,Term 1,50,26.190476190476193,52.38095238095239,Pass,C1
RN0001,T026,12,21,9,09-10-2025,English,Revision Test,Hard,60,Multi Chapter,Term 2,50,28.57142857142857,57.14285714285714,Pass,C1
RN0001,T027,13,21,8,13-10-2025,Mathematics,Chapter Test,Medium,30,Single Chapter,Term 2,50,30.952380952380953,61.904761904761905,Pass,B2
RN0001,T028,13,21,8,19-10-2025,Mathematics,Revision Test,Hard,60,Multi Chapter,Term 2,50,30.952380952380953,61.904761904761905,Pass,B2
RN0001,T029,18,21,3,27-10-2025,Mathematics,Monthly Test,Medium,45,Multi Chapter,Term 2,50,42.857142857142854,85.71428571428571,Pass,A2
RN0001,T030,11,21,10,30-10-2025,Social,Chapter Test,Medium,30,Single Chapter,Term 2,50,26.190476190476193,52.38095238095239,Pass,C1
RN0001,T031,17,21,4,01-11-2025,Social,Chapter Test,Easy,30,Single Chapter,Term 2,50,40.476190476190474,80.95238095238095,Pass,A2
RN0001,T032,12,21,9,03-11-2025,English,Revision Test,Hard,60,Full Syllabus,Term 2,50,28.57142857142857,57.14285714285714,Pass,C1
RN0001,T033,14,21,7,03-11-2025,English,Monthly Test,Medium,45,Multi Chapter,Term 2,50,33.33333333333333,66.66666666666666,Pass,B2
RN0001,T034,15,21,6,06-11-2025,Social,Chapter Test,Easy,30,Single Chapter,Term 2,50,35.714285714285715,71.42857142857143,Pass,B1
RN0001,T036,14,21,7,12-11-2025,Social,Chapter Test,Easy,30,Single Chapter,Term 2,50,33.33333333333333,66.66666666666666,Pass,B2
RN0001,T037,15,21,6,15-11-2025,Social,Chapter Test,Easy,30,Single Chapter,Term 2,50,35.714285714285715,71.42857142857143,Pass,B1
RN0001,T038,11,21,10,20-11-2025,Science,Unit Test,Medium,45,Single Chapter,Term 2,50,26.190476190476193,52.38095238095239,Pass,C1
RN0001,T039,15,21,6,21-11-2025,Mathematics,Chapter Test,Medium,30,Single Chapter,Term 2,50,35.714285714285715,71.42857142857143,Pass,B1
RN0001,T040,13,21,8,27-11-2025,English,Monthly Test,Medium,45,Multi Chapter,Term 2,50,30.952380952380953,61.904761904761905,Pass,B2
RN0001,T041,15,21,6,08-12-2025,Science,Chapter Test,Easy,30,Single Chapter,Term 2,50,35.714285714285715,71.42857142857143,Pass,B1
RN0001,T042,10,21,11,23-12-2025,English,Chapter Test,Medium,30,Single Chapter,Term 2,50,23.809523809523807,47.61904761904761,Pass,C2
RN0001,T043,12,21,9,24-12-2025,Science,Chapter Test,Medium,30,Single Chapter,Term 2,50,28.57142857142857,57.14285714285714,Pass,C1
RN0001,T044,9,21,12,29-12-2025,Science,Pre-Board,Hard,60,Full Syllabus,Term 2,80,34.285714285714285,42.857142857142854,Pass,C2
RN0001,T045,15,21,6,31-12-2025,Science,Chapter Test,Easy,30,Single Chapter,Term 2,50,35.714285714285715,71.42857142857143,Pass,B1
RN0001,T046,10,21,11,01-01-2026,Mathematics,Monthly Test,Medium,45,Multi Chapter,Term 2,50,23.809523809523807,47.61904761904761,Pass,C2
RN0001,T047,18,21,3,06-01-2026,Mathematics,Monthly Test,Medium,45,Multi Chapter,Term 2,50,42.857142857142854,85.71428571428571,Pass,A2
RN0001,T048,13,21,8,16-01-2026,Science,Chapter Test,Easy,30,Single Chapter,Term 2,50,30.952380952380953,61.904761904761905,Pass,B2
RN0001,T049,12,21,9,19-01-2026,Science,Chapter Test,Medium,30,Single Chapter,Term 2,50,28.57142857142857,57.14285714285714,Pass,C1
RN0001,T050,13,21,8,29-01-2026,Social,Chapter Test,Easy,30,Single Chapter,Term 2,50,30.952380952380953,61.904761904761905,Pass,B2
RN0002,T002,15,21,6,11-06-2025,Mathematics,Unit Test,Medium,45,Multi Chapter,Term 1,50,35.714285714285715,71.42857142857143,Pass,B1
RN0002,T003,20,21,1,12-06-2025,Mathematics,Unit Test,Medium,45,Single Chapter,Term 1,50,47.61904761904761,95.23809523809523,Pass,A1
RN0002,T004,14,21,7,14-06-2025,Science,Pre-Board,Hard,60,Full Syllabus,Term 1,80,53.33333333333333,66.66666666666666,Pass,B2
RN0002,T005,14,21,7,14-06-2025,Science,Monthly Test,Hard,45,Multi Chapter,Term 1,50,33.33333333333333,66.66666666666666,Pass,B2
RN0002,T006,17,21,4,19-06-2025,Social,Unit Test,Medium,45,Multi Chapter,Term 1,50,40.476190476190474,80.95238095238095,Pass,A2
RN0002,T007,16,21,5,25-06-2025,Mathematics,Pre-Board,Hard,60,Full Syllabus,Term 1,80,60.95238095238095,76.19047619047619,Pass,B1
RN0002,T008,18,21,3,05-07-2025,Science,Half-Yearly,Hard,60,Full Syllabus,Term 1,80,68.57142857142857,85.71428571428571,Pass,A2
RN0002,T009,17,21,4,07-07-2025,Mathematics,Half-Yearly,Hard,60,Full Syllabus,Term 1,80,64.76190476190476,80.95238095238095,Pass,A2
RN0002,T010,20,21,1,13-07-2025,Mathematics,Chapter Test,Medium,30,Single Chapter,Term 1,50,47.61904761904761,95.23809523809523,Pass,A1
RN0002,T011,13,21,8,17-07-2025,English,Monthly Test,Hard,45,Multi Chapter,Term 1,50,30.952380952380953,61.904761904761905,Pass,B2
RN0002,T012,17,21,4,22-07-2025,Mathematics,Monthly Test,Medium,45,Multi Chapter,Term 1,50,40.476190476190474,80.95238095238095,Pass,A2
RN0002,T013,15,21,6,23-07-2025,Science,Revision Test,Hard,60,Multi Chapter,Term 1,50,35.714285714285715,71.42857142857143,Pass,B1
RN0002,T014,17,21,4,01-08-2025,Science,Unit Test,Medium,45,Single Chapter,Term 1,50,40.476190476190474,80.95238095238095,Pass,A2
RN0002,T015,16,21,5,04-08-2025,English,Chapter Test,Medium,30,Single Chapter,Term 1,50,38.095238095238095,76.19047619047619,Pass,B1
RN0002,T016,16,21,5,07-08-2025,English,Chapter Test,Easy,30,Single Chapter,Term 1,50,38.095238095238095,76.19047619047619,Pass,B1
RN0002,T017,19,21,2,08-08-2025,Science,Chapter Test,Easy,30,Single Chapter,Term 1,50,45.23809523809524,90.47619047619048,Pass,A1
RN0002,T018,16,21,5,23-08-2025,Mathematics,Monthly Test,Hard,45,Multi Chapter,Term 1,50,38.095238095238095,76.19047619047619,Pass,B1
RN0002,T019,13,21,8,25-08-2025,English,Unit Test,Medium,45,Multi Chapter,Term 1,50,30.952380952380953,61.904761904761905,Pass,B2
RN0002,T021,13,21,8,27-08-2025,Social,Monthly Test,Medium,45,Multi Chapter,Term 1,50,30.952380952380953,61.904761904761905,Pass,B2
RN0002,T022,18,21,3,29-08-2025,Mathematics,Chapter Test,Easy,30,Single Chapter,Term 1,50,42.857142857142854,85.71428571428571,Pass,A2
RN0002,T023,17,21,4,30-08-2025,English,Unit Test,Medium,45,Multi Chapter,Term 1,50,40.476190476190474,80.95238095238095,Pass,A2
RN0002,T024,16,21,5,18-09-2025,Social,Unit Test,Medium,45,Single Chapter,Term 1,50,38.095238095238095,76.19047619047619,Pass,B1
RN0002,T025,12,21,9,08-10-2025,Social,Unit Test,Medium,45,Multi Chapter,Term 1,50,28.57142857142857,57.14285714285714,Pass,C1
RN0002,T026,13,21,8,09-10-2025,English,Revision Test,Hard,60,Multi Chapter,Term 2,50,30.952380952380953,61.904761904761905,Pass,B2
RN0002,T027,14,21,7,13-10-2025,Mathematics,Chapter Test,Medium,30,Single Chapter,Term 2,50,33.33333333333333,66.66666666666666,Pass,B2
RN0002,T028,12,21,9,19-10-2025,Mathematics,Revision Test,Hard,60,Multi Chapter,Term 2,50,28.57142857142857,57.14285714285714,Pass,C1
RN0002,T029,18,21,3,27-10-2025,Mathematics,Monthly Test,Medium,45,Multi Chapter,Term 2,50,42.857142857142854,85.71428571428571,Pass,A2
RN0002,T030,13,21,8,30-10-2025,Social,Chapter Test,Medium,30,Single Chapter,Term 2,50,30.952380952380953,61.904761904761905,Pass,B2
RN0002,T031,17,21,4,01-11-2025,Social,Chapter Test,Easy,30,Single Chapter,Term 2,50,40.476190476190474,80.95238095238095,Pass,A2
RN0002,T032,16,21,5,03-11-2025,English,Revision Test,Hard,60,Full Syllabus,Term 2,50,38.095238095238095,76.19047619047619,Pass,B1
RN0002,T033,17,21,4,03-11-2025,English,Monthly Test,Medium,45,Multi Chapter,Term 2,50,40.476190476190474,80.95238095238095,Pass,A2
RN0002,T034,17,21,4,06-11-2025,Social,Chapter Test,Easy,30,Single Chapter,Term 2,50,40.476190476190474,80.95238095238095,Pass,A2
RN0002,T035,12,21,9,10-11-2025,Science,Revision Test,Hard,60,Full Syllabus,Term 2,50,28.57142857142857,57.14285714285714,Pass,C1
RN0002,T036,18,21,3,12-11-2025,Social,Chapter Test,Easy,30,Single Chapter,Term 2,50,42.857142857142854,85.71428571428571,Pass,A2
RN0002,T037,18,21,3,15-11-2025,Social,Chapter Test,Easy,30,Single Chapter,Term 2,50,42.857142857142854,85.71428571428571,Pass,A2
RN0002,T038,14,21,7,20-11-2025,Science,Unit Test,Medium,45,Single Chapter,Term 2,50,33.33333333333333,66.66666666666666,Pass,B2
RN0002,T039,19,21,2,21-11-2025,Mathematics,Chapter Test,Medium,30,Single Chapter,Term 2,50,45.23809523809524,90.47619047619048,Pass,A1
RN0002,T040,13,21,8,27-11-2025,English,Monthly Test,Medium,45,Multi Chapter,Term 2,50,30.952380952380953,61.904761904761905,Pass,B2
RN0002,T041,14,21,7,08-12-2025,Science,Chapter Test,Easy,30,Single Chapter,Term 2,50,33.33333333333333,66.66666666666666,Pass,B2
RN0002,T042,17,21,4,23-12-2025,English,Chapter Test,Medium,30,Single Chapter,Term 2,50,40.476190476190474,80.95238095238095,Pass,A2
RN0002,T043,17,21,4,24-12-2025,Science,Chapter Test,Medium,30,Single Chapter,Term 2,50,40.476190476190474,80.95238095238095,Pass,A2
RN0002,T044,12,21,9,29-12-2025,Science,Pre-Board,Hard,60,Full Syllabus,Term 2,80,45.71428571428571,57.14285714285714,Pass,C1
RN0002,T045,16,21,5,31-12-2025,Science,Chapter Test,Easy,30,Single Chapter,Term 2,50,38.095238095238095,76.19047619047619,Pass,B1
RN0002,T046,16,21,5,01-01-2026,Mathematics,Monthly Test,Medium,45,Multi Chapter,Term 2,50,38.095238095238095,76.19047619047619,Pass,B1
RN0002,T047,15,21,6,06-01-2026,Mathematics,Monthly Test,Medium,45,Multi Chapter,Term 2,50,35.714285714285715,71.42857142857143,Pass,B1
RN0002,T048,20,21,1,16-01-2026,Science,Chapter Test,Easy,30,Single Chapter,Term 2,50,47.61904761904761,95.23809523809523,Pass,A1
RN0002,T049,18,21,3,19-01-2026,Science,Chapter Test,Medium,30,Single Chapter,Term 2,50,42.857142857142854,85.71428571428571,Pass,A2
RN0002,T050,15,21,6,29-01-2026,Social,Chapter Test,Easy,30,Single Chapter,Term 2,50,35.714285714285715,71.42857142857143,Pass,B1
RN0003,T001,11,21,10,05-06-2025,Mathematics,Chapter Test,Easy,30,Single Chapter,Term 1,50,26.190476190476193,52.38095238095239,Pass,C1
RN0003,T002,12,21,9,11-06-2025,Mathematics,Unit Test,Medium,45,Multi Chapter,Term 1,50,28.57142857142857,57.14285714285714,Pass,C1
RN0003,T003,17,21,4,12-06-2025,Mathematics,Unit Test,Medium,45,Single Chapter,Term 1,50,40.476190476190474,80.95238095238095,Pass,A2
RN0003,T004,11,21,10,14-06-2025,Science,Pre-Board,Hard,60,Full Syllabus,Term 1,80,41.904761904761905,52.38095238095239,Pass,C1
RN0003,T005,13,21,8,14-06-2025,Science,Monthly Test,Hard,45,Multi Chapter,Term 1,50,30.952380952380953,61.904761904761905,Pass,B2
RN0003,T006,14,21,7,19-06-2025,Social,Unit Test,Medium,45,Multi Chapter,Term 1,50,33.33333333333333,66.66666666666666,Pass,B2
RN0003,T007,12,21,9,25-06-2025,Mathematics,Pre-Board,Hard,60,Full Syllabus,Term 1,80,45.71428571428571,57.14285714285714,Pass,C1
RN0003,T008,11,21,10,05-07-2025,Science,Half-Yearly,Hard,60,Full Syllabus,Term 1,80,41.904761904761905,52.38095238095239,Pass,C1
RN0003,T009,13,21,8,07-07-2025,Mathematics,Half-Yearly,Hard,60,Full Syllabus,Term 1,80,49.523809523809526,61.904761904761905,Pass,B2
RN0003,T010,11,21,10,13-07-2025,Mathematics,Chapter Test,Medium,30,Single Chapter,Term 1,50,26.190476190476193,52.38095238095239,Pass,C1
RN0003,T011,11,21,10,17-07-2025,English,Monthly Test,Hard,45,Multi Chapter,Term 1,50,26.190476190476193,52.38095238095239,Pass,C1
RN0003,T012,13,21,8,22-07-2025,Mathematics,Monthly Test,Medium,45,Multi Chapter,Term 1,50,30.952380952380953,61.904761904761905,Pass,B2
RN0003,T013,12,21,9,23-07-2025,Science,Revision Test,Hard,60,Multi Chapter,Term 1,50,28.57142857142857,57.14285714285714,Pass,C1
RN0003,T014,11,21,10,01-08-2025,Science,Unit Test,Medium,45,Single Chapter,Term 1,50,26.190476190476193,52.38095238095239,Pass,C1
RN0003,T015,17,21,4,04-08-2025,English,Chapter Test,Medium,30,Single Chapter,Term 1,50,40.476190476190474,80.95238095238095,Pass,A2
RN0003,T016,17,21,4,07-08-2025,English,Chapter Test,Easy,30,Single Chapter,Term 1,50,40.476190476190474,80.95238095238095,Pass,A2
RN0003,T017,14,21,7,08-08-2025,Science,Chapter Test,Easy,30,Single Chapter,Term 1,50,33.33333333333333,66.66666666666666,Pass,B2
RN0003,T018,13,21,8,23-08-2025,Mathematics,Monthly Test,Hard,45,Multi Chapter,Term 1,50,30.952380952380953,61.904761904761905,Pass,B2
RN0003,T019,10,21,11,25-08-2025,English,Unit Test,Medium,45,Multi Chapter,Term 1,50,23.809523809523807,47.61904761904761,Pass,C2
RN0003,T020,10,21,11,26-08-2025,Science,Unit Test,Medium,45,Single Chapter,Term 1,50,23.809523809523807,47.61904761904761,Pass,C2
RN0003,T021,9,21,12,27-08-2025,Social,Monthly Test,Medium,45,Multi Chapter,Term 1,50,21.428571428571427,42.857142857142854,Pass,C2
RN0003,T022,15,21,6,29-08-2025,Mathematics,Chapter Test,Easy,30,Single Chapter,Term 1,50,35.714285714285715,71.42857142857143,Pass,B1
RN0003,T023,12,21,9,30-08-2025,English,Unit Test,Medium,45,Multi Chapter,Term 1,50,28.57142857142857,57.14285714285714,Pass,C1
RN0003,T024,12,21,9,18-09-2025,Social,Unit Test,Medium,45,Single Chapter,Term 1,50,28.57142857142857,57.14285714285714,Pass,C1
RN0003,T025,9,21,12,08-10-2025,Social,Unit Test,Medium,45,Multi Chapter,Term 1,50,21.428571428571427,42.857142857142854,Pass,C2
RN0003,T026,14,21,7,09-10-2025,English,Revision Test,Hard,60,Multi Chapter,Term 2,50,33.33333333333333,66.66666666666666,Pass,B2
RN0003,T027,13,21,8,13-10-2025,Mathematics,Chapter Test,Medium,30,Single Chapter,Term 2,50,30.952380952380953,61.904761904761905,Pass,B2
RN0003,T028,12,21,9,19-10-2025,Mathematics,Revision Test,Hard,60,Multi Chapter,Term 2,50,28.57142857142857,57.14285714285714,Pass,C1
RN0003,T029,14,21,7,27-10-2025,Mathematics,Monthly Test,Medium,45,Multi Chapter,Term 2,50,33.33333333333333,66.66666666666666,Pass,B2
RN0003,T030,11,21,10,30-10-2025,Social,Chapter Test,Medium,30,Single Chapter,Term 2,50,26.190476190476193,52.38095238095239,Pass,C1
RN0003,T031,17,21,4,01-11-2025,Social,Chapter Test,Easy,30,Single Chapter,Term 2,50,40.476190476190474,80.95238095238095,Pass,A2
RN0003,T032,14,21,7,03-11-2025,English,Revision Test,Hard,60,Full Syllabus,Term 2,50,33.33333333333333,66.66666666666666,Pass,B2
RN0003,T033,16,21,5,03-11-2025,English,Monthly Test,Medium,45,Multi Chapter,Term 2,50,38.095238095238095,76.19047619047619,Pass,B1
RN0003,T034,17,21,4,06-11-2025,Social,Chapter Test,Easy,30,Single Chapter,Term 2,50,40.476190476190474,80.95238095238095,Pass,A2
RN0003,T035,9,21,12,10-11-2025,Science,Revision Test,Hard,60,Full Syllabus,Term 2,50,21.428571428571427,42.857142857142854,Pass,C2
RN0003,T036,16,21,5,12-11-2025,Social,Chapter Test,Easy,30,Single Chapter,Term 2,50,38.095238095238095,76.19047619047619,Pass,B1
RN0003,T037,10,21,11,15-11-2025,Social,Chapter Test,Easy,30,Single Chapter,Term 2,50,23.809523809523807,47.61904761904761,Pass,C2
RN0003,T038,9,21,12,20-11-2025,Science,Unit Test,Medium,45,Single Chapter,Term 2,50,21.428571428571427,42.857142857142854,Pass,C2
RN0003,T039,12,21,9,21-11-2025,Mathematics,Chapter Test,Medium,30,Single Chapter,Term 2,50,28.57142857142857,57.14285714285714,Pass,C1
