question_id,subject,chapter,difficulty,attempts,correct,incorrect,accuracy_rate,performance_category
Q0001,Science,Our Environment,Medium,1938,1034,904,53.35,Moderate
Q0004,Science,Electricity,Easy,5788,4122,1666,71.22,Moderate
Q0005,Science,"Acids, Bases and Salts",Easy,1935,1311,624,67.75,Moderate
Q0006,Science,Control and Coordination,Medium,1915,1123,792,58.64,Moderate
Q0007,Science,Carbon and its Compounds,Hard,3840,1490,2350,38.8,Difficult
Q0008,Science,Heredity,Easy,3849,2646,1203,68.75,Moderate
Q0009,Science,Life Processes,Easy,1925,1454,471,75.53,Moderate
Q0010,Science,Heredity,Easy,1927,1561,366,81.01,Easy
Q0011,Science,"Acids, Bases and Salts",Medium,3838,2355,1483,61.36,Moderate
Q0012,Science,Chemical Reactions and Equations,Medium,5755,3264,2491,56.72,Moderate
Q0014,Science,How do Organisms Reproduce?,Medium,1926,1117,809,58.0,Moderate
Q0016,Science,How do Organisms Reproduce?,Hard,1915,773,1142,40.37,Difficult
Q0018,Science,Heredity,Medium,3862,2148,1714,55.62,Moderate
Q0021,Science,Carbon and its Compounds,Easy,1915,1446,469,75.51,Moderate
Q0024,Science,The Human Eye and the Colorful World,Hard,3838,1518,2320,39.55,Difficult
Q0026,Science,"Acids, Bases and Salts",Easy,1938,1313,625,67.75,Moderate
Q0027,Science,The Human Eye and the Colorful World,Easy,1923,1561,362,81.18,Easy
Q0029,Science,The Human Eye and the Colorful World,Medium,1926,1131,795,58.72,Moderate
Q0030,Science,Chemical Reactions and Equations,Easy,1915,1450,465,75.72,Moderate
Q0031,Science,Electricity,Hard,7715,3139,4576,40.69,Difficult
Q0032,Science,Control and Coordination,Hard,1923,874,1049,45.45,Difficult
Q0034,Science,Life Processes,Easy,3842,2911,931,75.77,Moderate
Q0035,Science,Electricity,Hard,1926,795,1131,41.28,Difficult
Q0037,Science,Heredity,Hard,1923,732,1191,38.07,Difficult
Q0038,Science,"Acids, Bases and Salts",Easy,3844,3003,841,78.12,Moderate
Q0039,Science,Light - Reflection and Refraction,Easy,7706,5821,1885,75.54,Moderate
Q0040,Science,Control and Coordination,Medium,1915,980,935,51.17,Moderate
Q0043,Science,Our Environment,Medium,1927,1253,674,65.02,Moderate
Q0044,Science,Electricity,Medium,1926,1013,913,52.6,Moderate
Q0045,Science,Electricity,Hard,3841,1463,2378,38.09,Difficult
Q0046,Science,Life Processes,Medium,1915,1005,910,52.48,Moderate
Q0048,Science,Life Processes,Hard,5777,2339,3438,40.49,Difficult
Q0049,Science,Control and Coordination,Medium,3849,2309,1540,59.99,Moderate
Q0052,Science,Life Processes,Easy,3849,2636,1213,68.49,Moderate
Q0053,Science,Our Environment,Medium,3850,2150,1700,55.84,Moderate
Q0054,Science,Metals and Non-metals,Medium,3847,2381,1466,61.89,Moderate
Q0056,Science,"Acids, Bases and Salts",Medium,3862,2308,1554,59.76,Moderate
Q0057,Science,Magnetic Effects of Electric Current,Medium,1925,1139,786,59.17,Moderate
Q0058,Science,Chemical Reactions and Equations,Medium,1915,1110,805,57.96,Moderate
Q0059,Science,Light - Reflection and Refraction,Hard,1926,793,1133,41.17,Difficult
Q0061,Science,Our Environment,Hard,1915,796,1119,41.57,Difficult
Q0062,Science,Control and Coordination,Medium,3846,2053,1793,53.38,Moderate
Q0063,Science,Electricity,Medium,3862,2296,1566,59.45,Moderate
Q0065,Science,The Human Eye and the Colorful World,Hard,3844,1660,2184,43.18,Difficult
Q0067,Science,Metals and Non-metals,Medium,1926,1188,738,61.68,Moderate
Q0069,Science,Our Environment,Medium,1924,1146,778,59.56,Moderate
Q0070,Science,Life Processes,Medium,3856,2485,1371,64.45,Moderate
Q0071,Science,"Acids, Bases and Salts",Easy,5776,4048,1728,70.08,Moderate
Q0072,Science,Heredity,Medium,3844,2292,1552,59.63,Moderate
Q0073,Science,Control and Coordination,Easy,1938,1330,608,68.63,Moderate
Q0074,Science,Carbon and its Compounds,Medium,3850,2488,1362,64.62,Moderate
Q0075,Science,How do Organisms Reproduce?,Medium,1927,1265,662,65.65,Moderate
Q0076,Science,Our Environment,Easy,3849,2874,975,74.67,Moderate
Q0077,Science,Light - Reflection and Refraction,Medium,1923,1275,648,66.3,Moderate
